PulserCal_9.09MeV
10/01/20 11:57
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
324 	 666 	 0 	 6720 	 0 
325 	 670 	 0 	 6726 	 0 
326 	 670 	 0 	 6736 	 0 
327 	 673 	 0 	 6750 	 0 
328 	 673 	 0 	 6734 	 0 
329 	 677 	 0 	 6748 	 0 
330 	 677 	 0 	 6745 	 0 
331 	 682 	 0 	 6741 	 0 
332 	 682 	 0 	 6748 	 0 
333 	 686 	 0 	 6722 	 0 
334 	 686 	 0 	 6749 	 0 
335 	 690 	 0 	 6733 	 0 
336 	 690 	 0 	 6722 	 0 
337 	 694 	 0 	 6726 	 0 
338 	 694 	 0 	 6738 	 0 
339 	 699 	 0 	 6730 	 0 
340 	 699 	 0 	 6735 	 0 
341 	 703 	 0 	 6733 	 0 
342 	 703 	 0 	 6719 	 0 
343 	 707 	 0 	 6735 	 0 
344 	 707 	 0 	 6737 	 0 
345 	 711 	 0 	 6728 	 0 
346 	 711 	 0 	 6737 	 0 
347 	 716 	 0 	 6737 	 0 
348 	 716 	 0 	 6742 	 0 
349 	 718 	 0 	 6748 	 0 
350 	 718 	 0 	 6726 	 0 
351 	 723 	 0 	 6727 	 0 
352 	 723 	 0 	 6725 	 0 
353 	 727 	 0 	 6726 	 0 
354 	 727 	 0 	 6732 	 0 
355 	 731 	 0 	 6736 	 0 
356 	 731 	 0 	 6744 	 0 
357 	 735 	 0 	 6750 	 0 
358 	 735 	 0 	 6746 	 0 
359 	 740 	 0 	 6726 	 0 
360 	 740 	 0 	 6736 	 0 
361 	 744 	 0 	 6737 	 0 
362 	 744 	 0 	 6735 	 0 
363 	 748 	 0 	 6720 	 0 
364 	 748 	 0 	 6745 	 0 
365 	 752 	 0 	 6718 	 0 
366 	 752 	 0 	 6734 	 0 
367 	 757 	 0 	 6740 	 0 
368 	 757 	 0 	 6728 	 0 
369 	 759 	 0 	 6728 	 0 
370 	 759 	 0 	 6720 	 0 
371 	 764 	 0 	 6727 	 0 
372 	 764 	 0 	 6739 	 0 
373 	 768 	 0 	 6723 	 0 
374 	 768 	 0 	 6735 	 0 
375 	 772 	 0 	 6730 	 0 
376 	 772 	 0 	 6730 	 0 
377 	 776 	 0 	 6729 	 0 
378 	 776 	 0 	 6740 	 0 
379 	 781 	 0 	 6727 	 0 
380 	 781 	 0 	 6732 	 0 
381 	 785 	 0 	 6748 	 0 
382 	 785 	 0 	 6745 	 0 
383 	 789 	 0 	 6729 	 0 
384 	 789 	 0 	 6737 	 0 
385 	 793 	 0 	 6745 	 0 
386 	 793 	 0 	 6729 	 0 
387 	 797 	 0 	 6736 	 0 
388 	 797 	 0 	 6730 	 0 
389 	 800 	 0 	 6737 	 0 
390 	 800 	 0 	 6740 	 0 
391 	 804 	 0 	 6736 	 0 
392 	 804 	 0 	 6735 	 0 
393 	 809 	 0 	 6735 	 0 
394 	 809 	 0 	 6739 	 0 
395 	 813 	 0 	 6737 	 0 
396 	 813 	 0 	 6741 	 0 
397 	 817 	 0 	 6719 	 0 
398 	 817 	 0 	 6732 	 0 
399 	 821 	 0 	 6734 	 0 
400 	 821 	 0 	 6740 	 0 
401 	 826 	 0 	 6745 	 0 
402 	 826 	 0 	 6733 	 0 
403 	 830 	 0 	 6722 	 0 
404 	 830 	 0 	 6726 	 0 
405 	 834 	 0 	 6729 	 0 
406 	 834 	 0 	 6745 	 0 
407 	 838 	 0 	 6740 	 0 
408 	 838 	 0 	 6744 	 0 
409 	 841 	 0 	 6749 	 0 
410 	 841 	 0 	 6727 	 0 
411 	 845 	 0 	 6739 	 0 
412 	 845 	 0 	 6733 	 0 
413 	 850 	 0 	 6724 	 0 
414 	 850 	 0 	 6721 	 0 
415 	 854 	 0 	 6732 	 0 
416 	 854 	 0 	 6732 	 0 
417 	 858 	 0 	 6732 	 0 
418 	 858 	 0 	 6742 	 0 
419 	 862 	 0 	 6734 	 0 
420 	 862 	 0 	 6732 	 0 
421 	 867 	 0 	 6740 	 0 
422 	 867 	 0 	 6750 	 0 
423 	 871 	 0 	 6742 	 0 
424 	 871 	 0 	 6733 	 0 
425 	 875 	 0 	 6742 	 0 
426 	 875 	 0 	 6733 	 0 
427 	 879 	 0 	 6742 	 0 
428 	 879 	 0 	 6743 	 0 
429 	 882 	 0 	 6747 	 0 
430 	 882 	 0 	 6731 	 0 
431 	 886 	 0 	 6727 	 0 
432 	 886 	 0 	 6748 	 0 
433 	 891 	 0 	 6736 	 0 
434 	 891 	 0 	 6733 	 0 
435 	 895 	 0 	 6738 	 0 
436 	 895 	 0 	 6729 	 0 
437 	 899 	 0 	 6723 	 0 
438 	 899 	 0 	 6744 	 0 
439 	 903 	 0 	 6754 	 0 
440 	 903 	 0 	 6737 	 0 
441 	 908 	 0 	 6736 	 0 
442 	 908 	 0 	 6728 	 0 
443 	 912 	 0 	 6715 	 0 
444 	 912 	 0 	 6732 	 0 
445 	 916 	 0 	 6743 	 0 
446 	 916 	 0 	 6754 	 0 
447 	 920 	 0 	 6735 	 0 
448 	 920 	 0 	 6726 	 0 
449 	 925 	 0 	 6736 	 0 
450 	 925 	 0 	 6735 	 0 
451 	 927 	 0 	 6725 	 0 
452 	 927 	 0 	 6726 	 0 
453 	 932 	 0 	 6733 	 0 
454 	 932 	 0 	 6737 	 0 
455 	 936 	 0 	 6731 	 0 
456 	 936 	 0 	 6734 	 0 
457 	 940 	 0 	 6746 	 0 
458 	 940 	 0 	 6733 	 0 
459 	 944 	 0 	 6734 	 0 
460 	 944 	 0 	 6741 	 0 
461 	 949 	 0 	 6740 	 0 
462 	 949 	 0 	 6747 	 0 
463 	 953 	 0 	 6728 	 0 
464 	 953 	 0 	 6717 	 0 
465 	 957 	 0 	 6737 	 0 
466 	 957 	 0 	 6744 	 0 
467 	 961 	 0 	 6728 	 0 
468 	 961 	 0 	 6727 	 0 
469 	 965 	 0 	 6743 	 0 
470 	 965 	 0 	 6736 	 0 
471 	 968 	 0 	 6734 	 0 
472 	 968 	 0 	 6723 	 0 
473 	 972 	 0 	 6734 	 0 
474 	 972 	 0 	 6748 	 0 
475 	 977 	 0 	 6733 	 0 
476 	 977 	 0 	 6738 	 0 
477 	 981 	 0 	 6735 	 0 
478 	 981 	 0 	 6744 	 0 
479 	 985 	 0 	 6752 	 0 
480 	 985 	 0 	 6737 	 0 
481 	 989 	 0 	 6732 	 0 
482 	 989 	 0 	 6720 	 0 
483 	 994 	 0 	 6735 	 0 
484 	 994 	 0 	 6733 	 0 
485 	 998 	 0 	 6736 	 0 
486 	 998 	 0 	 6741 	 0 
487 	 1002 	 0 	 6737 	 0 
488 	 1002 	 0 	 6736 	 0 
489 	 1006 	 0 	 6726 	 0 
490 	 1006 	 0 	 6728 	 0 
491 	 1009 	 0 	 6726 	 0 
492 	 1009 	 0 	 6723 	 0 
493 	 1013 	 0 	 6726 	 0 
494 	 1013 	 0 	 6722 	 0 
495 	 1018 	 0 	 6725 	 0 
496 	 1018 	 0 	 6730 	 0 
497 	 1022 	 0 	 6737 	 0 
498 	 1022 	 0 	 6744 	 0 
499 	 1026 	 0 	 6725 	 0 
500 	 1026 	 0 	 6720 	 0 
501 	 1030 	 0 	 6754 	 0 
502 	 1030 	 0 	 6742 	 0 
503 	 1035 	 0 	 6737 	 0 
504 	 1035 	 0 	 6728 	 0 
505 	 1039 	 0 	 6740 	 0 
506 	 1039 	 0 	 6733 	 0 
507 	 1043 	 0 	 6735 	 0 
508 	 1043 	 0 	 6732 	 0 
509 	 1047 	 0 	 6747 	 0 
510 	 1047 	 0 	 6717 	 0 
511 	 1050 	 0 	 6723 	 0 
512 	 1050 	 0 	 6736 	 0 
513 	 1054 	 0 	 6723 	 0 
514 	 1054 	 0 	 6728 	 0 
515 	 1059 	 0 	 6728 	 0 
516 	 1059 	 0 	 6728 	 0 
517 	 1063 	 0 	 6734 	 0 
